model_name,n_sample,n_burn,free_heart_params,model_number,a_heart,t_heart,v_heart,z_heart,model_dic,dic_rank,dic_diff,a_prime,t_prime,v_prime,z_prime,a_target,t_target,v_target,z_target,finish_date,fitting_time_secs
heart_3_params-m02,5000,500,3,2,1,1,0,1,-13041.684229013461,1,NA,1,1,1,1,0,1,1,0,2021-04-09,13289.268109
heart_2_params-m05,5000,500,2,5,0,1,0,1,-13040.337076167434,2,1.35,1,1,1,1,0,1,1,0,2021-04-09,15151.324419
heart_3_params-m04,5000,500,3,4,0,1,1,1,-12993.931662232928,3,46.41,1,1,1,1,0,1,1,0,2021-04-09,13684.539262
heart_4_params-m01,5000,500,4,1,1,1,1,1,-12990.362942439719,4,3.57,1,1,1,1,0,1,1,0,2021-04-09,13532.207346
heart_2_params-m04,5000,500,2,4,0,1,1,0,-12983.37440523462,5,6.99,1,1,1,1,0,1,1,0,2021-04-09,15127.198086
heart_1_params-m02,5000,500,1,2,0,1,0,0,-12967.109387380646,6,16.27,1,1,1,1,0,1,1,0,2021-04-09,14868.894696
heart_3_params-m01,5000,500,3,1,1,1,1,0,-12952.823419846683,7,14.29,1,1,1,1,0,1,1,0,2021-04-09,14997.813822
heart_2_params-m01,5000,500,2,1,1,1,0,0,-12943.931805256487,8,8.89,1,1,1,1,0,1,1,0,2021-04-09,14799.296391
heart_1_params-m04,5000,500,1,4,0,0,0,1,-12668.81752514304,9,275.11,1,1,1,1,0,1,1,0,2021-04-09,14634.374867
heart_0_params-m01,5000,500,0,1,0,0,0,0,-12648.370936277124,10,20.45,1,1,1,1,0,1,1,0,2021-04-09,8259.06734
heart_2_params-m03,5000,500,2,3,1,0,0,1,-12638.675200382157,11,9.7,1,1,1,1,0,1,1,0,2021-04-09,14653.332763
heart_1_params-m01,5000,500,1,1,1,0,0,0,-12616.518700653207,12,22.16,1,1,1,1,0,1,1,0,2021-04-09,14376.782682
heart_3_params-m03,5000,500,3,3,1,0,1,1,-12612.134002134037,13,4.38,1,1,1,1,0,1,1,0,2021-04-09,13105.305626
heart_2_params-m02,5000,500,2,2,1,0,1,0,-12598.360185096391,14,13.77,1,1,1,1,0,1,1,0,2021-04-09,14698.07954
heart_2_params-m06,5000,500,2,6,0,0,1,1,-12594.741762973157,15,3.62,1,1,1,1,0,1,1,0,2021-04-09,14934.757499
heart_1_params-m03,5000,500,1,3,0,0,1,0,-12574.224163006355,16,20.52,1,1,1,1,0,1,1,0,2021-04-09,14597.50354
